<Ticker>,<DTYYYYMMDD>,<Date>,<Open>,<High>,<Low>,<Close>,<Volume>,<Trend>
AAV,20200526,26-05-20,5.1,5.2,5,5,260451,0
AAV,20200525,25-05-20,5,5.1,5,5.1,308413,1
AAV,20200522,22-05-20,5.1,5.1,4.9,5,293355,0
AAV,20200521,21-05-20,5,5.2,4.9,5.1,353037,1
AAV,20200520,20-05-20,4.8,5,4.8,5,363125,1
AAV,20200519,19-05-20,5,5.1,4.8,4.8,380910,0
AAV,20200518,18-05-20,5.2,5.4,4.9,5.1,248900,0
AAV,20200515,15-05-20,5.3,5.3,4.8,5.2,499021,1
AAV,20200514,14-05-20,4.5,4.9,4.5,4.9,534700,1
AAV,20200513,13-05-20,4.6,4.7,4.5,4.5,111405,0
AAV,20200512,12-05-20,4.7,4.7,4.6,4.7,164215,1
AAV,20200511,11-05-20,4.6,4.7,4.5,4.6,122231,0
AAV,20200508,08-05-20,4.7,4.7,4.6,4.7,82630,0
AAV,20200507,07-05-20,4.8,4.8,4.7,4.8,158600,0
AAV,20200506,06-05-20,4.7,4.8,4.6,4.8,139535,1
AAV,20200505,05-05-20,4.6,4.8,4.5,4.7,242400,0
AAV,20200504,04-05-20,4.7,4.9,4.6,4.7,214800,0
AAV,20200429,29-04-20,4.8,4.9,4.7,4.8,214000,0
AAV,20200428,28-04-20,4.9,4.9,4.7,4.8,157400,0
AAV,20200427,27-04-20,4.9,5,4.8,4.9,170804,0
AAV,20200424,24-04-20,4.9,5,4.8,5,152230,0
AAV,20200423,23-04-20,4.8,5,4.7,5,196630,1
AAV,20200422,22-04-20,4.7,5,4.6,4.9,191600,0
AAV,20200421,21-04-20,5.3,5.3,4.9,5,315505,0
AAV,20200420,20-04-20,5.2,5.5,5.1,5.4,221004,1
AAV,20200417,17-04-20,5.1,5.3,5,5.3,158470,1
AAV,20200416,16-04-20,5.1,5.2,4.9,5.1,182400,0
AAV,20200415,15-04-20,4.8,5.2,4.8,5.2,298615,1
AAV,20200414,14-04-20,4.8,4.9,4.7,4.8,72010,0
AAV,20200413,13-04-20,4.8,4.9,4.7,4.9,72800,0
AAV,20200410,10-04-20,5,5,4.7,4.9,74900,0
AAV,20200409,09-04-20,4.7,5,4.7,5,75900,1
AAV,20200408,08-04-20,4.8,5,4.7,4.9,104000,0
AAV,20200407,07-04-20,5.1,5.2,4.9,4.9,81231,0
AAV,20200406,06-04-20,4.9,5.2,4.8,5.1,103310,1
AAV,20200403,03-04-20,4.6,5,4.6,5,48400,1
AAV,20200401,01-04-20,4.8,4.8,4.5,4.8,86526,0
AAV,20200331,31-03-20,4.7,4.9,4.5,4.8,56440,0
AAV,20200330,30-03-20,4.9,5,4.7,4.9,113600,0
AAV,20200327,27-03-20,5,5.2,4.8,5,162300,0
AAV,20200326,26-03-20,4.7,5.2,4.6,5,187900,1
AAV,20200325,25-03-20,4.4,4.8,4.4,4.8,132100,1
AAV,20200324,24-03-20,4.4,4.4,4.2,4.4,110700,0
AAV,20200323,23-03-20,4.8,4.8,4.4,4.4,19405,0
AAV,20200320,20-03-20,4.7,4.8,4.7,4.8,3200,1
AAV,20200319,19-03-20,4.7,4.7,4.6,4.7,2610,0
AAV,20200318,18-03-20,4.9,4.9,4.8,4.9,58700,0
AAV,20200317,17-03-20,4.7,4.9,4.7,4.9,40500,1
AAV,20200316,16-03-20,4.7,4.9,4.6,4.7,84124,0
AAV,20200313,13-03-20,4.8,5,4.7,4.7,106900,0
AAV,20200312,12-03-20,5.7,5.7,5.2,5.2,119400,0
AAV,20200311,11-03-20,6.1,6.2,5.5,5.7,196650,0
AAV,20200310,10-03-20,6.2,6.2,5.9,6.1,181200,0
AAV,20200309,09-03-20,6.7,6.7,6.2,6.2,59400,0
AAV,20200306,06-03-20,6.8,6.9,6.7,6.8,57400,0
AAV,20200305,05-03-20,6.8,6.9,6.7,6.8,49550,0
AAV,20200304,04-03-20,6.7,6.8,6.7,6.8,57615,1
AAV,20200303,03-03-20,6.7,7,6.7,6.7,186046,0
AAV,20200302,02-03-20,6.8,6.8,6.7,6.7,112710,0
AAV,20200228,28-02-20,6.7,6.8,6.6,6.8,50200,0
AAV,20200227,27-02-20,6.8,6.8,6.7,6.8,57600,0
AAV,20200226,26-02-20,6.8,6.8,6.7,6.8,62600,0
AAV,20200225,25-02-20,6.8,6.9,6.7,6.8,72556,0
AAV,20200224,24-02-20,6.8,6.9,6.7,6.9,49000,0
AAV,20200221,21-02-20,7,7.1,6.9,7,61300,0
AAV,20200220,20-02-20,7,7.2,6.8,7,130416,0
AAV,20200219,19-02-20,6.9,7.1,6.9,7,133200,0
AAV,20200218,18-02-20,7,7,6.8,7,48420,0
AAV,20200217,17-02-20,7,7,6.8,7,45700,0
AAV,20200214,14-02-20,7,7,6.7,7,57500,0
AAV,20200213,13-02-20,7,7,6.8,7,84120,0
AAV,20200212,12-02-20,7,7.1,6.9,7,61430,0
AAV,20200211,11-02-20,7.2,7.2,7.1,7.1,39800,0
AAV,20200210,10-02-20,7.1,7.3,6.9,7.2,67840,0
AAV,20200207,07-02-20,7.2,7.4,7.2,7.2,70200,0
AAV,20200206,06-02-20,7.5,7.6,7.2,7.4,95100,0
AAV,20200205,05-02-20,7.7,7.7,7.4,7.4,88500,0
AAV,20200204,04-02-20,7.6,7.8,7.5,7.8,80130,1
AAV,20200203,03-02-20,7.9,7.9,7.3,7.6,80405,0
AAV,20200131,31-01-20,8.2,8.3,7.9,8,75535,0
AAV,20200130,30-01-20,8.3,8.4,8.1,8.2,76900,0
AAV,20200122,22-01-20,8.4,8.5,8.3,8.4,93235,0
AAV,20200121,21-01-20,8.4,8.5,8.3,8.4,69900,0
AAV,20200120,20-01-20,8.5,8.5,8.1,8.4,83100,0
AAV,20200117,17-01-20,8.8,8.9,8.2,8.5,126800,0
AAV,20200116,16-01-20,8.7,9,8.7,8.8,122735,1
AAV,20200115,15-01-20,8.8,8.9,8.6,8.7,103500,0
AAV,20200114,14-01-20,8.8,8.9,8.7,8.8,102411,0
AAV,20200113,13-01-20,9,9,8.8,8.8,103800,0
